relative_path	bytes	sha256	year	semester	module	subject	category	pdf_pages	pdf_error	audit_sample_chars	audit_sample_status
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - Final_Lec_3_45_New_Exam_MCQs.pdf	58658	70dc21b86903e9b5dee9a0b5d7b33beff75e937cfd891dfb330682ec5ee5effe	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	7		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - MICRO_PHARMA FHB 102-2 BY SALAMA.pdf	238977	3c4f855a524545347d7ad2d5e54fee1d548b38d4c4ffca8bbaad0b2bc1cbe456	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	48		1144	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - PentaGram Mohamed Farid(Pharma102)FHB-2.pdf	1314332	6c0877cba2e6a0f9a92bc9c3cb1f9e40895afb1d8b1864205a668b62d610f7fb	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	33		1718	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - Pharma Chemo 1 (Q&A - Pentagram).pdf	265560	3df95a463227dbe1fa28e03cb5d22b9f0e186ef1ab1a0826ac606af7fc20ee0b	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	21		945	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - Pharma Chemo 2 (Q&A - Pentagram).pdf	243408	d97e9681737b5bcd5dd9a0527b523657b13bc6adb70aeaeae8d3efdb35367328	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	16		995	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - Pharma FHB revision MCQs.pdf	337631	d948497bb2689e89db0fcd72328049516cc34ec6255a346d032fbd83010c1114	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	52		251	sparse-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - Special Chemotherapy [ANSWERED].pdf	1120705	42bc67ac2f79d260f47b534c735175f3e8ee8fc3f4bb9301ab1d00ee522f3aaf	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	9		1800	sparse-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - Special Chemotherapy.pdf	1015549	751bfbee69cbb36e1f12ca0cf411ca57ad0eeeddefd8386d822fe606293c4165	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	9		1800	sparse-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - [Answers] MCQs Abubakr (ASU) - General Cemotherapy.pdf	1363833	d14cd183898771cf094e221c221fbffc7b1965b4f6c07579f3ba2207abf7b225	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	14		2	empty-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - [Answers] MCQs Abubakr (ASU) - Special Chemotherapy.pdf	731488	e2dff78742250a8d7f778f2431724d8eedd21bea41cb4c9e9f04670beeab336a	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	7		2	empty-text
